Key,az,bg,en,hy,ka,pl,ro,ru,sr
observation.forms.select_language_modal.header,Forma üçün dil seçin,Избери език,Select form language,Ընտրեք ձևաթղթի լեզուն ,აირჩიეთ ფორმის ენა,Wybierz język formularza,Selectează limba formularului,Выберите язык формы,Izaberite jezik izveštaja
observation.forms.select_language_modal.helper,"Seçilmiş forma bir neçə dildə əlçatan olacaq. Xahiş edirik, hansı dildə davam etmək istədiyinizi seçin.","Избраният формуляр е достъпен на различни езици. Моля, изберете този, на който желаете да продължите.",The selected form is available in multiple languages. Please select which one you would like to continue with.,"Ընտրված ձևաթուղթը հասանելի է մի քանի լեզուներով: Խնդրում ենք ընտրել, թե որ լեզվով  եք նախընտրում շարունակել:","შერჩეული ფორმა ხელმისაწვდომია რამდენიმე ენაზე. გთხოვთ, აირჩიოთ, რომელი ენით გსურთ გაგრძელება.
","Wybrany formularz dostępny jest w kilku językach. Wybierz proszę język, w którym chcesz kontynnuować pracę.",Formularul selectat este disponibil în mai multe limbi. Te rugăm să alegi limba cu care dorești să continui,"Выбранная форма доступна на нескольких языках. Пожалуйста, выберите, на каком языке вы хотите продолжить.",Izabrani izveštaj je dostupan na više jezika. Izaberite jedan da biste nastavili dalje.
observation.forms.select_language_modal.error,Xahiş edirik variantlardan birini seçin,"Моля, изберете една от опциите",Please select one of the options,Խնդրում ենք ընտրել տարբերակներից մեկը,"გთხოვთ, არჩიოთ ერთ-ერთი ვარიანტი",Proszę wybrać jedną z opcji,Te rugăm să selectezi una dintre opțiuni înainte de a continua.,"Пожалуйста, выберите один из вариантов.",Molimo vas izaberite jednu od opcija
observation.options_menu.manage_my_polling_stations,Mənim seçki məntəqələrimin idarə edilməsi,Управление на моите изборни секции,Manage my polling stations,Իմ ընտրատեղամասերի կառավարումը,"ჩემი საარჩევნო უბნების მართვა
",Zarządzanie moimi komisjami wyborczymi,Vezi secțiile de votare vizitate,Управление моими избирательными участками,Upravljanje mojim biračkim mestima
polling_station_information_form.title,Seçki məntəqəsinin məlumatı,Информация за изборната секция,Polling station information,Ընտրատեղամասի  տեղեկատվություն ,საარჩევნო უბნის ინფორმაცია,Informacje dotyczące komisji wyborczej,Informații despre secția de votare,Информация на избирательном участке,Informacije o biračkom mestu
polling_station_information_form.submit,Cavabların göndərilməsi,Изпратете отговори,Submit answers,Ուղարկել պատասխանները ,პასუხების გაგზავნა,Zatwierdź odpowiedzi,Trimite răspunsuri,Отправить ответы,Pošalji odgovore
polling_station_information_form.form.max,Daxil edilmiş mətn {{value}} simvoldan çox olmamalıdır,Въведеното не може да надвишава {{value}} знака,Input cannot exceed {{value}} characters,Մուտքագրված տեքստը չպետք է գերազանցի {{value}} խորհրդանիշը:,შეყვანილი ტექსტი არ უნდა აღემატებოდეს {{value}} სიმბოლოს,Dane wejściowe nie mogą przekraczać {{value}} znaków,Câmpul nu poate depăși {{value}} caractere,Введенный текст не должен превышать количество знаков {{value}}.,Unos ne može preći preko {{value}} karaktera
polling_station_information_form.form.placeholder,Xahiş edirik mətni daxil edin...,"Моля, въведете текст...",Please enter a text..,Խնդրում ենք մուտքագրել տեքստը ,"გთხოვთ, შეიყვანოთ ტექსტი..",Proszę wpisać tekst...,Te rugăm să introduci un text...,"Пожалуйста, введите текст",Unesi tekst...
polling_station_information_form.menu.clear,Formanı silin (bütün cavabların silinməsi),Изчистете формуляра (изтрийте всички отговори),Clear form (delete all answers),Մաքրել ձևաթուղթը (ջնջել բոլոր պատասխանները) ,"ფორმის გასუფთავება (ყველა პასუხის წაშლა)
",Wyczyść formularz (usuń wszystkie odpowiedzi),Golește formularul (șterge toate răspunsurile),Очистить форму (удалить все ответы),Očisti obazac (obriši sve odgovore)
polling_station_information_form.warning_modal.title,Seçki məntəqəsinin məlumat formasının silinməsi,Изчистете формуляра за изборната секция,Clear Polling station information form,Ջնջել ընտրատեղամասի տեղեկատվության ձևաթուղթը ,საარჩევნო უბნის ინფორმაციის ფორმის წაშლა,Wyczyść formularz informacyjny komisji wyborczej,Golește formularul cu informațiile secției de votare,Удаление формы об информации на избирательном участке,Očisti informacije o biračkom mestu
polling_station_information_form.warning_modal.description,"Bu hərəkət formaya daxil edilmiş bütün cavabları siləcək. Xoşagəlməz məlumatın itirilməsini aradan qaldırmaq üçün xahiş edirik, bu hərəkəti yerinə yetirənə qədər formanı yoxlayın.","Това действие ще изтрие всички въведени до момента отговори в този формуляр. За да избегнете нежелана загуба на информация, моля, уверете се, че сте проверили формуляра, преди да извършите това действие.","This action will delete all answers entered so far for this form. To avoid unintended information loss, please ensure you check the form before performing this action.","Այս գործողության արդյունքում կջնջվեն ձևաթղթում մուտքագրված բոլոր պատասխանները: Ուստի, տեղեկատվության անցանկալի կորստից խուսափելու համար այս գործողությունն իրականացնելուց առաջ խնդրում ենք վերստուգել ձևաթուղթը:","ეს მოქმედება წაშლის ამ ფორმაში შეყვანილ ყველა პასუხს. არასასურველი ინფორმაციის დაკარგვის თავიდან ასაცილებლად, გთხოვთ, გადაამოწმოთ ფორმა ამ მოქმედების შესრულებამდე.
","Ta czynność usunie wszystkie odpowiedzi wprowadzone do formularza. Aby uniknąć utraty danych, upewnij się proszę, że sprawdziłeś/aś formularz zanim wykonasz tę akcję.","Această acțiune va șterge toate răspunsurile introduse până acum în acest formular. Pentru a evita orice pierdere neintenționată de date, te rugăm să verifici informațiile despre secția de votare înainte de a realiza această acțiune.","Это действие удалит все ответы, введенные до сих пор в эту форму. Во избежание нежелательной потери информации проверьте форму перед выполнением этого действия.","Ova akcija će obrisati sve unete odgovore u ovom izveštaju. Da biste izbegli nenamerni gubitak informacija, molimo vas da proverite obrazac pre izvođenja ove akcije."
polling_station_information_form.warning_modal.actions.cancel,Ləğv etmək,Откажи,Cancel,Չեղարկել ,გაუქმება,Anuluj,Renunță,Отмена,Otkaži
polling_station_information_form.warning_modal.actions.clear,Formanın silinməsi (bütün cavabların silinməsi),Изчисти формуляра,Clear form,Մաքրել ձևաթուղթը (ջնջել բոլոր պատասխանները) ,"ფორმის გასუფთავება (ყველა პასუხის წაშლა)
",Wyczyść formularz,Golește formularul,Очистить форму (удалить все ответы). ,Očisti obrazac
polling_station_information_form.unsaved_changes_dialog.title,Formada dəyişikliklərin yadda saxlanılması,Запазете промените във формуляра,Save changes to form,Պահպանել ձևաթղթում կատարված փոփոխությունները,ფორმაში ცვლილებების შენახვა,Zapisz zmiany w formularzu,Salvează modificările pe formular,Сохранить изменения в форме,Sačuvaj promene u obliku.
polling_station_information_form.unsaved_changes_dialog.description,Bu formada yadda saxlanmamış dəyişiklikləriniz var. Formadan çıxmazdan əvvəl dəyişikliklərinizi yadda saxlamaq istəyirsiniz?,"Имате незаписани промени в този формуляр. Искате ли да запазите промените си, преди да напуснете?",You have unsaved changes on this form. Do you want to save your changes before leaving?,Այս ձևաթղթում դուք ունեք չպահպանված փոփոխություններ: Ցանկանո՞ւմ եք պահպանել  փոփոխությունները ձևաթղթից դուրս գալուց առաջ:,"თქვენ ამ ფორმაზე გაქვთ შეუნახავი ცვლილებები. გსურთ ფორმის დატოვებამდე ცვლილებების შენახვა?
",Masz niezapisane zmiany w tym formularzu. Czy chcesz zapisać zmiany przed wyjściem?,Ai modificări nesalvate pe acest formular. Vrei să salvezi modificările înainte de a părăsi pagina?,В этой форме у вас имеются несохраненные изменения. Хотите сохранить изменения перед выходом?,Imate nesačuvane izmene na ovom formularu. Da li želiš da sačuvaš svoje promene pre odlaska?
polling_station_information_form.unsaved_changes_dialog.actions.discard,Silmək ,Отхвърлете,Discard,Ջնջել ,წაშლა ,Odrzucenie,Renunță,Удалить ,Odbacite
polling_station_information_form.unsaved_changes_dialog.actions.save,Dəyişiklikləri yaddaşa almaq,Запазете промените,Save changes,Պահպանել փոփոխությունները ,ცვლილებების შენახვა,Zapisz zmiany,Salvează modificările,Сохранить изменения ,Sačuvaj promene.
form_overview.overview.heading,Formaya yenidən baxış,Преглед на формуляра,Form Overview,Վերանայել ձևաթուղթը ,ფორმის გადახედვა,Podgląd formularza,Prezentare generală a formularului,Пересмотреть форму,Pregled izveštaja
form_overview.overview.status,Forma statusu,Статус на формуляра,Form status,Ձևաթղթի կարգավիճակը ,ფორმის სტატუსი,Status formularza,Status formular,Статус формы,Status izveštaja
form_overview.overview.answered_questions,Cavablandırılmış suallar,"Въпроси, на които е отговорено",Answered questions,"Հարցեր, որոնց տրված են պատասխաններ ",პასუხგაცემული კითხვები,Wypełnione pytania,Întrebări cu răspuns,"Вопросы, на которые были даны ответы",Odgovorena pitanja
form_overview.overview.resume,Formanı davam etdirmək,Възобновете,Resume form,Շարունակել ձևաթուղթը ,ფორმის გაგრძელება,Formularz wznawiać,Reia formularul,Продолжить в форме,Nastavi sa obrascem
form_overview.overview.start_form,Formaya başlamaq,Започнете,Start form,Սկսել լրացնել ձևաթուղթը ,ფორმის დაწყება,Uruchom formularz,Începe formularul,Начать заполнение формы,Započni obrazac
form_overview.overview.progress,İnkişaf,прогрес,progress,Առաջընթաց ,პროგრესი,postęp,progres,Прогресс,napredak
form_overview.questions.title,Suallar,Въпроси,Questions,Հարցեր ,კითხვები,Pytania,Întrebări,Вопросы,Pitanja
form_overview.questions.not_answered,Cavab verilməyib,Не е отговорено,Not Answered,Պատասխան չի տրվել ,პასუხი არ არის გაცემული,Nie udzielono odpowiedzi,Fără răspuns,Ответ не выдан,Nije odgovoreno
form_overview.questions.answered,Cavab verilib,Отговорено,Answered,Պատասխանը տրված է  ,პასუხი გაცემულია,Udzielono odpowiedzi,Cu răspuns,Отвечено,Odgovoreno
form_overview.questions.no_notes,Əlavə edilmiş qeydləri əhatə etmir,Няма прикачени бележки,No attached notes,Գրառում չի պարունակում,არ შეიცავს ჩანაწერს,Brak dołączonych notatek,Fără notițe atașate,Нет записей ,Nema dodatih beleški
form_overview.questions.notes,Əlavə edilmiş qeydləri əhatə edir,Включва прикачени бележки,Includes attached notes,Պարունակում է գրառում ,შეიცავს ჩანაწერს ,Zawiera załączone notatki,Există notițe atașate,Имеются записи,Sadrži dodate beleške
form_overview.attachments.notes,{{count}} Qeyd (lər),{{count}} Забележка(и),{{count}} Note(s),{{count}} գրառում (ներ),{{count}} ჩანაწერი(ები),{{count}} Notatki,{{count}} Notiță,{{count}} Запись (записи) ,{{count}} Beleške
form_overview.attachments.media,{{count}} Media fayllar,{{count}} Медийни файлове,{{count}} Media file(s),{{count}} մեդիա ֆայլ (եր),{{count}} მედია ფაილი(ები),{{count}} Pliki z nagraniami/zdjęciami,{{count}} Fișier(e) media,{{count}}Медиафайл (медиафайлы) ,{{count}} Medijske datoteke
form_overview.error,Forma məlumatları yüklənərkən xəta baş verdi!,Грешка при зареждане на данните от формуляра!,Error while loading the form data!,Ձևաթղթի տվյալները ներբեռնելիս արձանագրվել է սխալ: ,"შეცდომა ფორმის მონაცემების ჩატვირთვისას!
",Błąd podczas ładowania danych formularza!,Eroare la încărcarea datelor formularului!,Ошибка при загрузке данных формы!,Greška pri učitavanju podataka!
form_overview.menu.clear,Formanın təmizlənməsi (bütün cavabların silinməsi),Изчистете формуляра (изтрийте всички отговори),Clear form (delete all answers),Մաքրել ձևաթուղթը (ջնջել բոլոր պատասխանները) ,"ფორმის გასუფთავება (ყველა პასუხის წაშლა)
",Wyczyść formularz (usuń wszystkie odpowiedzi),Golește formularul (șterge toate răspunsurile),Очистить форму (удалить все ответы),COčisti izveštaj (izbriši sve odgovore)
form_overview.menu.change_language,Dili dəyişmək,Променете езика,Change language,Փոխել լեզուն,ენის შეცვლა,Zmień język,Schimbă limba formularului,Поменять язык,Promeni jezik
form_overview.clear_answers_modal.title,Formanın təmizlənməsi {{value}},Изчисти формуляра {{value}},Clear form {{value}},Մաքրել ձևաթուղթը {{value}} ,"ფორმის გასუფთავება {{value}}
",Clear form {{value}},Golește formularul {{value}},Очистить форму {{value}},Očisti izveštaj {{value}}
form_overview.clear_answers_modal.description.p1,"Bu əməliyyat formaya daxil edilmiş bütün cavabları (qeydlər və media faylları daxil olmaqla) siləcək. Bütün sualların statusu ""Cavabsız"" olaraq dəyişəcək.",Това действие ще изтрие всички въведени до момента отговори за този формуляр (включително бележките и медийните файлове). Състоянието на всички въпроси ще бъде върнато на 'Не е отговорено'.,This action will delete all answers entered so far for this form (including notes and media files). Status of all questions will be reverted to 'Not Answered'.,Այս գործողության արդյունքում կջնջվեն ձևաթղթում մուտքագրված բոլոր պատասխանները (այդ թվում՝ նշումները և մեդիա ֆայլերը): Բոլոր հարցերի կարգավիճակը կփոխվի որպես  «անպատասխան»:,"ეს მოქმედება წაშლის ამ ფორმაში შეყვანილ ყველა პასუხს (მათ შორის შენიშვნებსა და მედია ფაილებს). ყველა კითხვის სტატუსი შეიცვლება, როგორც „პასუხგაუცემელი“.","Ta czynność usunie wszystkie odpowiedzi wprowadzone do tego formularza. Dotyczy to wprowadzonych informacji, notatek, jak i załączonych plików. Wszystkie pytania zostaną przywrócone do stanu 'Nie udzielono odpowiedzi'.",Această acțiune va șterge toate răspunsurile introduse până acum pentru acest formular (inclusiv notițe și fișiere media). Toate întrebările își vor schimba statusul în 'Fără răspuns'.,"Это действие удалит все ответы, введенные в эту форму (включая заметки и медиафайлы). Статус всех вопросов будет изменен на «Не отвечено».",Ova akcija će obrisati sve dosad unete odgovore za ovaj izveštaj (uključujući beleške i medijske datoteke). Status svih pitanja biće vraćen na 'Nije odgovoreno'
form_overview.clear_answers_modal.description.p2,Xoşagəlməz məlumat itkisinin qarşısını almaq üçün bu əməliyyatı yerinə yetirməzdən əvvəl formanı yoxlayın,"За да избегнете нежелана загуба на информация, моля, уверете се, че сте проверили формуляра, преди да извършите това действие.","To avoid unintended information loss, please ensure you check the form before performing this action",Տեղեկատվության անցանկալի կորստից խուսափելու համար այս գործողությունն իրականացնելուց առաջ խնդրում ենք վերստուգել ձևաթուղթը,"არასასურველი ინფორმაციის დაკარგვის თავიდან ასაცილებლად, გთხოვთ გადაამოწმოთ ფორმა ამ მოქმედების შესრულებამდე
","Aby uniknąć utraty danych, upewnij się proszę, że sprawdziłeś/aś dane dotyczące komisji wyborczej zanim wykonasz tę akcję.","Pentru a evita orice pierdere neintenționată de date, te rugăm să verifici formularul înainte de a realiza această acțiune.","Во избежание нежелательной потери информации, пожалуйста, проверьте форму перед выполнением этого действия","Da biste izbegli nenamerni gubitak informacija, molimo vas da proverite izveštaj pre izvođenja ove akcije."
form_overview.clear_answers_modal.actions.clear,Formanın təmizlənməsi,Изчисти формуляра,Clear form,Մաքրել ձևաթուղթը ,"ფორმის გასუფთავება
",Wyczyść formularz,Golește formularul,Очистить форму,Očisti izveštaj
form_overview.clear_answers_modal.actions.cancel,Ləğv etmək,Откажи,Cancel,Չեղարկել ,გაუქმება,Anuluj,Renunță,Отменить,Otkaži
polling_station_form_wizard.progress_bar.label,Formanın inkişafı,Напредък в попълването на формуляра,Form progress,Ձևաթղթի առաջընթացը ,ფორმის პროგრესი,Postęp formy,Progresul formularului,Прогресс формы,Napredak izveštaja
polling_station_form_wizard.progress_bar.clear_answer,Cavabın silinməsi,Изтрий отговора,Clear answer,Ջնջել պատասխանը ,პასუხის წაშლა,Wyczyść odpowiedź,Șterge răspuns,Удалить ответ,Očisti odgovore
polling_station_form_wizard.form.min,Sütun ən azı {{value}} simvol olmalıdır,Полето трябва да съдържа най-малко {{value}} знака,The field must be at least {{value}} characters long,Դաշտը պետք է պարունակի առնվազն {{value}}  խորհրդանիշ,"ველი უნდა შეიცავდეს მინიმუმ {{value}} სიმბოლოს
",Pole musi mieć długość co najmniej {{value}} znaków,Câmpul trebuie să aibă cel puțin {{value}} caractere,Поле должно содержать минимум символов {{value}} ,Polje mora da sadrži najmanje {{value}} karaktera
polling_station_form_wizard.form.max,Sütunun maksimum {{value}} simvolu olmalıdır,Полето трябва да съдържа максимум {{value}} знака,The field must have a maximum of {{value}} characters,Դաշտը պետք է պարունակի առավելագույնը {{value}} խորհրդանիշ ,"ველს უნდა ჰქონდეს მაქსიმუმ {{value}} სიმბოლო
",Pole musi zawierać maksymalnie {{value}} znaków,Câmpul trebuie să aibă maximum {{value}} caractere,Поле должно содержать максимум  символов {{value}},Polje mora da sadrži najviše {{value}} karaktera
polling_station_form_wizard.form.required,Bu sahə tələb olunur,Това поле е задължително,This field is required,Այս դաշտը պարտադիր է,ეს ველი სავალდებულოა,To pole jest wymagane,Acest câmp este obligatoriu,Это поле обязательно для заполнения,Ovo polje je obavezno
polling_station_form_wizard.form.date_placeholder,Xahiş edirik tarixi qeyd edin,"Моля, въведете дата",Please enter a date,Խնդրում ենք մուտքագրել ամսաթիվը,"გთხოვთ, შეიყვანოთ თარიღი
",Proszę wprowadzić datę,Te rugăm să introduci data,"Пожалуйста, введите дату:",Unesite datum
polling_station_form_wizard.form.text_placeholder,Xahiş edirik mətni qeyd edin,"Моля, въведете текст",Please enter a text,Խնդրում ենք մուտքագրել տեքստը ,"გთხოვთ, შეიყვანოთ ტექსტი
",Proszę wpisać tekst,Te rugăm să introduci un text,"Пожалуйста, введите текст:",Unesite text
polling_station_form_wizard.attachments.heading,Yüklənmiş media,Качи файл,Uploaded media,Վերբեռնված մեդիա ,"ატვირთული მედია
",Wybrane media,Fișiere media încărcate,Загруженные медиафайлы,Otpremljeni mediji
polling_station_form_wizard.attachments.loading,Qoşma əlavə edilir…,Добавяне на прикачен файл... ,Adding attachment... ,Հավելվածն ավելացվում է…,"დანართი ემატება…
",Dodawanie załącznika... ,Se adaugă atașamentul... ,Приложение добавляется...,Dodavanje priloga...
polling_station_form_wizard.attachments.error,Qoşma göndərilərkən xəta baş verdi!,Грешка при изпращане на прикачен файл!,Error while sending the attachment!,Հավելվածն ուղարկելիս արձանագրվել է սխալ ,"შეცდომა დანართის გაგზავნისას!
",Błąd podczas wysyłania załącznika!,Eroare la încărcarea atașamentului.,Ошибка при отправлении приложения,Greška pri slanju priloga!
polling_station_form_wizard.attachments.add,Qeydlər və medianın əlavə edilməsi,Добавете бележки или медийни файлове,Add notes and media,Ավելացնել գրառումներ և մեդիա ֆայլեր  ,"ჩანაწერისა და მედიის დამატება
","Dodaj notatkę, zdjęcie lub wideo",Adaugă notițe sau fișiere media,Добавить записи и медиафайлы:,Dodajte vaše medijske datoteke
polling_station_form_wizard.attachments.menu.add_note,Qeydin əlavə edilməsi,Добави коментар,Add note,Ավելացնել գրառում ,ჩანაწერის დამატება,Dodaj notatkę,Adaugă o notiță,Добавить зписи:,Dodaj belešku
polling_station_form_wizard.attachments.menu.load,Qalereyadan yükləmə,Качи от галерията,Load from gallery,Ներբեռնել պատկերասրահից ,გალერეიდან ჩატვირთვა,Dodaj z galerii,Încarcă din galerie,Загрузить из галереи,Učitaj iz galerije
polling_station_form_wizard.attachments.menu.take_picture,Şəkil çəkdirmək,Направи снимка,Take a photo,Լուսանկարել ,ფოტოს გადაღება,Zrób zdjęcie,Fă o poză,Сделать снимок,Napravite fotografiju
polling_station_form_wizard.attachments.menu.record_video,Video yazmaq,Запиши видеоo,Record a video,Ձայնագրել տեսանյութ ,ვიდეოს ჩაწერა,Nagraj wideo,Înregistrează un video,Записать видео,Napravite video zapis
polling_station_form_wizard.attachments.menu.upload_audio,Audio faylın yüklənməsi,Добавете аудио файл,Upload audio file,Վերբեռնել աուդիո(ձայնային)ֆայլ,აუდიო ფაილის ატვირთვა,Wgraj nagranie,Încarcă un fișier audio,Загрузить аудиофайл,Učitaj audio snimak
polling_station_form_wizard.attachments.upload.compressing,Əlavənin sıxılması:,Сваляне на прикачен файл: ,Compressing attachment: ,Կցված ֆայլի սեղմում ... ,მიმაგრებული ფაილის შეკუმშვა:,Kompresowanie załącznika: ,Se comprimă atașamentul: ,Сжимающееся крепление:,Kompresovanje medije: 
polling_station_form_wizard.attachments.upload.preparing,Qoşma hazırlanır...,Подготвя се прикачен файл...,Preparing attachment..., Կցված ֆայլի պատրաստում...,მიმაგრებული ფაილის მომზადება...,Przygotowanie załącznika...,Se pregătește atașamentul...,Подготовка вложения...,Priprema medije...
polling_station_form_wizard.attachments.upload.starting,Yükləmə başlayır...,Започва сваляне...,Starting the upload...,Վերբեռնումը սկսված է...,ატვირთვის დაწყება...,Rozpoczynanie wysyłania...,Se începe încărcarea...,Начало загрузки...,Počinje slanje...
polling_station_form_wizard.attachments.upload.progress,Yükləmə prosesi:,Прогрес на сваляне:,Upload progress:,Վերբեռնման առաջընթացը՝,ატვირთვის პროგრესი:,Postęp wysyłania:,Progresul încărcării:,Прогресс загрузки:,Napredak slanja:
polling_station_form_wizard.attachments.upload.completed,Yükləmə tamamlandı.,Сваляне завършено.,Upload completed.,Վերբեռնումն ավարտված է:,ატვირთვა დასრულებულია.,Wysyłanie zakończone.,Încărcarea a fost finalizată.,Загрузка завершена.,Slanje završeno.
polling_station_form_wizard.attachments.upload.aborted,Yükləmə dayandırıldı.,Сваляне прекратено.,Upload aborted.,Վերբեռնումը ընդհատվեց:,ატვირთვა შეწყდა.,Wysyłanie przerwane.,Încărcarea a fost anulată.,Загрузка прервана.,Slanje prekinuto.
polling_station_form_wizard.attachments.upload.offline,Bu əməliyyatı yerinə yetirmək üçün sizə internet bağlantısı lazımdır.,"Нуждаете се от интернет връзка, за да извършите това действие.",You need an internet connection in order to perform this action.,Այս գործողությունն իրականացնելու համար ձեզ անհրաժեշտ է ինտերնետ կապ:,ამ მოქმედების შესასრულებლად საჭიროა ინტერნეტ კავშირი.,"Potrzebujesz połączenia internetowego, aby wykonać tę akcję.",Ai nevoie de conexiune la internet pentru a face acestă acțiune.,Для выполнения этого действия необходимо подключение к Интернету.,Potrebna vam je internet veza da biste izvršili ovu radnju.
polling_station_form_wizard.notes.heading,Qeydlər ,Бележки,Notes,Գրառումներ ,ჩანაწერები,Notatki,Notițe,Записи,Beleške
polling_station_form_wizard.notes.add.heading,Qeydin əlavə edilməsi,Добави коментар,Add a note,Ավելացնել գրառում ,ჩანაწერის დამატება,Dodaj notatkę,Adaugă o notiță,Добавить запись,Dodajte belešku
polling_station_form_wizard.notes.add.form.input.placeholder,Bu suala hər hansı müvafiq qeyd əlavə edin,Добави коментари към този въпрос.,Add any relevant notes to this question.,Ավելացրեք այս հարցին վերաբերող ցանկացած տեղին նշում  ,დაამატეთ ნებისმიერი რელევანტური შენიშვნა ამ შეკითხვაზე,Dodaj istotne informacje dotyczące tego pytania.,Adaugă orice notiță relevantă pentru această întrebare...,Добавьте любые релевантные примечания к этому вопросу,Dodajte svoje beleške za ovo pitanje.
polling_station_form_wizard.notes.add.form.input.max,Daxil edilmiş mətn 10.000 simvoldan çox olmamalıdır,"Въведеното не може да надвишава 10,000 знака","Input cannot exceed 10,000 characters","Մուտքագրված տեքստը չպետք է գերազանցի 10,000 խորհրդանիշը:","შეყვანილი ტექსტი არ უნდა აღემატებოდეს 10,000 სიმბოლოს","Dane wejściowe nie mogą przekraczać 10,000 znaków","Câmpul nu poate depăși 10,000 de caractere",Введенный текст не должен превышать 10000 символов,"Unos ne može preći preko 10,000 karaktera"
polling_station_form_wizard.notes.add.form.input.required,Bu sütun məcburi deyil,Това поле е задължително,This field is required,Այդ դաշտը չի համարվում պարտադիր ,ეს ველი სავალდებულო არ არის,To pole jest wymagane,Acest câmp este obligatoriu,Это поле не является обязательным,Polje je obavezno
polling_station_form_wizard.notes.edit.heading,Qeydin redaktə edilməsi,Редактирай,Edit note,Խմբագրել նշումը ,შენიშვნის დარედაქტირება,Edytuj notatkę,Editează notița,Редактировать примечание,Izmeni beleške
polling_station_form_wizard.notes.edit.delete,Qeydin silinməsi,Изтрий записа,Delete note,Ջնջել նշումը ,შენიშვნის წაშლა,Usuń notatkę,Șterge notița,Удалить примечание,Izbriši belešku
polling_station_form_wizard.notes.delete.title,Qeydin silinməsi,Изтрий записа,Delete note,Ջնջել նշումը ,შენიშვნის წაშლა,Usuń notatkę,Șterge notița,Удалить примечание,Izbriši belešku
polling_station_form_wizard.notes.delete.description,Bu əməliyyatı dəyişə bilməzsiniz. Silinmiş qeydi bərpa etmək mümkün deyil,"Това действие не може да бъде отменено. Веднъж изтрит, записът не може да бъде възстановен.","This action cannot be undone. Once deleted, a note cannot be retrieved.",Այս գործողությունը  չեք կարող փոխել: Ջնջված նշումը հնարավոր չէ վերականգնել:,ამ მოქმედებას ვეღარ შეცვლით. წაშლილი შენიშვნის აღდგენა შესაძლებელი არ არის,Ta akcja nie może być cofnięta. Usunięte notatki nie mogą zostać przywrócone.,"Această acțiune este ireversibilă. Odată ștearsă, o notiță nu poate fi recuperată.",Это действие не может быть изменено. Восстановить удаленное примечание невозможно. ,"Ovo brisanje je trajno. Kada se beleška izbriše, ne postoji način da se povrati."
polling_station_form_wizard.notes.delete.actions.cancel,Ləğv etmək,Откажи,Cancel,Չեղարկել ,გაუქმება,Anuluj,Renunță,Отмена,Otkaži
polling_station_form_wizard.notes.delete.actions.delete,Silmək,Изтрий,Delete,Ջնջել,წაშლა,Usuń,Șterge,Удалить,Izbriši
polling_station_form_wizard.warning_modal.question.title,{{value}} Sualın cavabının silinməsi,Изчисти отговора на Въпрос {{value}},Clear answer to question {{value}},Ջնջել {{value}} հարցի պատասխանը,{{value}} კითხვაზე პასუხის წაშლა,Wyczyść odpowiedź dla pytania{{value}},Șterge răspunsul întrebării {{value}},Удалить ответ на вопрос {{value}},Očisti odgovor na pitanje {{value}}
polling_station_form_wizard.warning_modal.question.description,"Bu suala cavabın silinməsi onunla bağlı məlumatı (qeydlər və media fayllar daxil olmaqla), eləcə də bütün əlaqəli sualları həmişəlik siləcək. Sualların statusu ""Cavabsız"" olaraq dəyişəcək.",Изчистването на отговора ще изтрие окончателно цялата информация (включително бележките и медийните файлове). Състоянието на въпроса ще бъде върнато на 'Не е отговорено'.,"Clearing the answer to this question will permanently delete all its information (including notes and media files), as well as all its connected questions. Question statuses will be reverted to Not Answered.","Այս հարցի պատասխանը ջնջելու դեպքում ընդմիշտ կջնջվի հարցին վերաբերող ողջ տեղեկատվությունը (այդ թվում՝  նշումները և մեդիա ֆայլերը), ինչպես նաև դրա հետ կապված բոլոր հարցերը: Հարցերի կարգավիճակը կփոխվի՝ դառնալով «Անպատասխան»։","ამ კითხვაზე პასუხის წაშლა სამუდამოდ წაშლის მასზე ინფორმაციას (მათ შორის შენიშვნებსა და მედია ფაილებს), ასევე ყველა მასთან დაკავშირებულ კითხვას. კითხვების სტატუსი შეიცვლება „პასუხგაუცემელზე“.
",Wyczyszczenie odpowiedzi usunie wprowadzone dane (jak również notatki i załączniki). Pytanie zostanie przywrócone do stanu 'Nie udzielono odpowiedzi'.,"Această acțiune presupune ștergerea inclusiv a informațiilor atașate (notițe, fișiere media sau audio). Întrebarea își va schimba statusul în 'Fără răspuns'. ","Удаление ответа на этот вопрос приведет к безвозвратному удалению всей информации (включая примечания и медиафайлы), а также всех связанных с ней вопросов. Статусы вопросов будут изменены на статус «Не отвечено».",Brisanje odgovora trajno će ukloniti sve njegove informacije (uključujući beleške i medijske datoteke). Status pitanja biće vraćen na 'Nije odgovoreno'.
polling_station_form_wizard.warning_modal.question.actions.cancel,Ləğv etmək,Откажи,Cancel,Չեղարկել ,გაუქმება,Anuluj,Renunță,Отмена,Otkaži
polling_station_form_wizard.warning_modal.question.actions.clear,Cavabın silinməsi,Изчисти отговора,Clear answer,Ջնջել պատասխանը ,პასუხის წაშლა,Wyczyść odpowiedź,Șterge răspuns,Удалить ответ,Očisti odgovor
polling_station_form_wizard.warning_modal.attachment.title,Media faylın silinməsi,Изтрий файла,Delete media file,Ջնջել մեդիա ֆայլը ,მედია ფაილის წაშლა,Usuń plik(i),Șterge fișier media,Удалить медиафайл,Izbriši medijsku datoteku
